Title,DOI,Link,Abstract,Author Keywords
"Towards high-capacity fibre-optic communications at the speed of light in vacuum","10.1038/nphoton.2013.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875809097&doi=10.1038%2fnphoton.2013.45&partnerID=40&md5=8edf29f636269e8e3da96fc4f6d080f3","Wide-bandwidth signal transmission with low latency is emerging as a key requirement in a number of applications, including the development of future exaflop-scale supercomputers, financial algorithmic trading and cloud computing. Optical fibres provide unsurpassed transmission bandwidth, but light propagates 31% slower in a silica glass fibre than in vacuum, thus compromising latency. Air guidance in hollow-core fibres can reduce fibre latency very significantly. However, state-of-the-art technology cannot achieve the combined values of loss, bandwidth and mode-coupling characteristics required for high-capacity data transmission. Here, we report a fundamentally improved hollow-core photonic-bandgap fibre that provides a record combination of low loss (3.5 dB km -1) and wide bandwidth (160 nm), and use it to transmit 37 × 40 Gbit s -1 channels at a 1.54 μs km -1 faster speed than in a conventional fibre. This represents the first experimental demonstration of fibre-based wavelength division multiplexed data transmission at close to (99.7%) the speed of light in vacuum. © 2013 Macmillan Publishers Limited. All rights reserved.",
"Low-latency trading","10.1016/j.finmar.2013.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886303256&doi=10.1016%2fj.finmar.2013.05.003&partnerID=40&md5=2c5b9aaa202a35b3b2578c310b85bbe8","We define low-latency activity as strategies that respond to market events in the millisecond environment, the hallmark of proprietary trading by high-frequency traders though it could include other algorithmic activity as well. We propose a new measure of low-latency activity to investigate the impact of high-frequency trading on the market environment. Our measure is highly correlated with NASDAQ-constructed estimates of high-frequency trading, but it can be computed from widely-available message data. We use this measure to study how low-latency activity affects market quality both during normal market conditions and during a period of declining prices and heightened economic uncertainty. Our analysis suggests that increased low-latency activity improves traditional market quality measures-decreasing spreads, increasing displayed depth in the limit order book, and lowering short-term volatility. Our findings suggest that given the current market structure for U.S. equities, increased low-latency activity need not work to the detriment of long-term investors. © 2013 Elsevier B.V.","High-frequency trading; Limit order markets; Liquidity; Market quality; NASDAQ; Order placement strategies"
"Rise of the machines: Algorithmic trading in the foreign exchange market","10.1111/jofi.12186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897941973&doi=10.1111%2fjofi.12186&partnerID=40&md5=82907967701ca02e5c04d5abfb3659d3","We study the impact of algorithmic trading (AT) in the foreign exchange market using a long time series of high-frequency data that identify computer-generated trading activity. We find that AT causes an improvement in two measures of price efficiency: the frequency of triangular arbitrage opportunities and the autocorrelation of high-frequency returns. We show that the reduction in arbitrage opportunities is associated primarily with computers taking liquidity. This result is consistent with the view that AT improves informational efficiency by speeding up price discovery, but that it may also impose higher adverse selection costs on slower traders. In contrast, the reduction in the autocorrelation of returns owes more to the algorithmic provision of liquidity. We also find evidence consistent with the strategies of algorithmic traders being highly correlated. This correlation, however, does not appear to cause a degradation in market quality, at least not on average. © 2014 the American Finance Association.",
"The high-frequency trading arms race: Frequent batch auctions as a market design response","10.1093/qje/qjv027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947758001&doi=10.1093%2fqje%2fqjv027&partnerID=40&md5=e5e912332d73ad5186989413e4be854b","The high-frequency trading arms race is a symptom of flawed market design. Instead of the continuous limit order book market design that is currently predominant, we argue that financial exchanges should use frequent batch auctions: uniform price double auctions conducted, for example, every tenth of a second. That is, time should be treated as discrete instead of continuous, and orders should be processed in a batch auction instead of serially. Our argument has three parts. First, we use millisecond-level direct-feed data from exchanges to document a series of stylized facts about how the continuous market works at high-frequency time horizons: (i) correlations completely break down; which (ii) leads to obvious mechanical arbitrage opportunities; and (iii) competition has not affected the size or frequency of the arbitrage opportunities, it has only raised the bar for how fast one has to be to capture them. Second, we introduce a simple theory model which is motivated by and helps explain the empirical facts. The key insight is that obvious mechanical arbitrage opportunities, like those observed in the data, are built into the market design-continuous-time serial-processing implies that even symmetrically observed public information creates arbitrage rents. These rents harm liquidity provision and induce a never-ending socially wasteful arms race for speed. Last, we show that frequent batch auctions directly address the flaws of the continuous limit order book. Discrete time reduces the value of tiny speed advantages, and the auction transforms competition on speed into competition on price. Consequently, frequent batch auctions eliminate the mechanical arbitrage rents, enhance liquidity for investors, and stop the high-frequency trading arms race. © The Author(s) 2015. Published by Oxford University Press, on behalf of President and Fellows of Harvard College. All rights reserved.",
"The diversity of high-frequency traders","10.1016/j.finmar.2013.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886246906&doi=10.1016%2fj.finmar.2013.05.009&partnerID=40&md5=05e8d34dd7e52a2d7414a9af0879d887","The regulatory debate concerning high-frequency trading (HFT) emphasizes the importance of distinguishing different HFT strategies and their influence on market quality. Using data from NASDAQ-OMX Stockholm, we compare market-making HFTs to opportunistic HFTs. We find that market makers constitute the lion's share of HFT trading volume (63-72%) and limit order traffic (81-86%). Furthermore, market makers have higher order-to-trade ratios and lower latency than opportunistic HFTs. In a natural experiment based on tick size changes, we find that the activity of market-making HFTs mitigates intraday price volatility. © 2013 Elsevier B.V.","High-frequency trading; Market making; Market quality; Volatility"
"Individual investors and financial disclosure","10.1016/j.jacceco.2013.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879847651&doi=10.1016%2fj.jacceco.2013.05.001&partnerID=40&md5=11e8cbcadf63af9cf4681f2cd2e117ea","Using detailed data of individual investors, this study shows that, on average, individuals invest more in firms with clear and concise financial disclosures. The results indicate this relation is less pronounced for high frequency trading and financially-literate individuals. The study also shows that individuals' returns are increasing with clearer and more concise disclosures, implying such disclosures reduce individuals' relative information disadvantage. Together, the findings suggest improved corporate disclosure practices benefit individual investors, in particular buy-and-hold investors. © 2013 Elsevier B.V.","Financial disclosure; Individual characteristics; Individual investors; Information disadvantage"
"High-frequency financial econometrics",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924767115&partnerID=40&md5=201f6cba25e1ea2d29c56e81ec7764d7","High-frequency trading is an algorithm-based computerized trading practice that allows firms to trade stocks in milliseconds. Over the last fifteen years, the use of statistical and econometric methods for analyzing high-frequency financial data has grown exponentially. This growth has been driven by the increasing availability of such data, the technological advancements that make high-frequency trading strategies possible, and the need of practitioners to analyze these data. This comprehensive book introduces readers to these emerging methods and tools of analysis. Yacine Aït-Sahalia and Jean Jacod cover the mathematical foundations of stochastic processes, describe the primary characteristics of high-frequency financial data, and present the asymptotic concepts that their analysis relies on. Aït-Sahalia and Jacod also deal with estimation of the volatility portion of the model, including methods that are robust to market microstructure noise, and address estimation and testing questions involving the jump part of the model. As they demonstrate, the practical importance and relevance of jumps in financial data are universally recognized, but only recently have econometric methods become available to rigorously analyze jump processes. Aït-Sahalia and Jacod approach high-frequency econometrics with a distinct focus on the financial side of matters while maintaining technical rigor, which makes this book invaluable to researchers and practitioners alike. © 2014 by Princeton University Press. All rights reserved.",
"The Flash Crash: High-Frequency Trading in an Electronic Market","10.1111/jofi.12498","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018654938&doi=10.1111%2fjofi.12498&partnerID=40&md5=f7292054ac2b967dac1da1532500f5b1","We study intraday market intermediation in an electronic market before and during a period of large and temporary selling pressure. On May 6, 2010, U.S. financial markets experienced a systemic intraday event—the Flash Crash—where a large automated selling program was rapidly executed in the E-mini S&P 500 stock index futures market. Using audit trail transaction-level data for the E-mini on May 6 and the previous three days, we find that the trading pattern of the most active nondesignated intraday intermediaries (classified as High-Frequency Traders) did not change when prices fell during the Flash Crash. © 2017 the American Finance Association",
"Design and analysis of a social botnet","10.1016/j.comnet.2012.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875215273&doi=10.1016%2fj.comnet.2012.06.006&partnerID=40&md5=69937fe55820d314d890664edab65650","Online Social Networks (OSNs) have attracted millions of active users and have become an integral part of today's web ecosystem. Unfortunately, in the wrong hands, OSNs can be used to harvest private user data, distribute malware, control botnets, perform surveillance, spread misinformation, and even influence algorithmic trading. Usually, an adversary starts off by running an infiltration campaign using hijacked or adversary-owned OSN accounts, with an objective to connect with a large number of users in the targeted OSN. In this article, we evaluate how vulnerable OSNs are to a large-scale infiltration campaign run by socialbots: bots that control OSN accounts and mimic the actions of real users. We adopted the design of a traditional web-based botnet and built a prototype of a Socialbot Network (SbN): a group of coordinated programmable socialbots. We operated our prototype on Facebook for 8 weeks, and collected data about user behavior in response to a large-scale infiltration campaign. Our results show that (1) by exploiting known social behaviors of users, OSNs such as Facebook can be infiltrated with a success rate of up to 80%, (2) subject to user profile privacy settings, a successful infiltration can result in privacy breaches where even more private user data are exposed, (3) given the economics of today's underground markets, running a large-scale infiltration campaign might be profitable but is still not particularly attractive as a sustainable and independent business, (4) the security of socially-aware systems that use or integrate OSN platforms can be at risk, given the infiltration capability of an adversary in OSNs, and (5) defending against malicious socialbots raises a set of challenges that relate to web automation, online-offline identity binding, and usable security. © 2012 Elsevier B.V. All rights reserved.","Automated social engineering; Botnets; Online privacy; Online social networks; Social network security; Socialbots"
"What's not there: Odd lots and market data","10.1111/jofi.12185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906225776&doi=10.1111%2fjofi.12185&partnerID=40&md5=11885557812a634c9dfe1f68f04ed22a","We investigate odd-lot trades in equity markets. Odd lots are increasingly used in algorithmic and high-frequency trading, but are not reported to the consolidated tape or in databases such as TAQ. In our sample, the median number of odd-lot trades is 24% but in some stocks odd lots are 60% or more of trading. Odd-lot trades contribute 35% of price discovery, consistent with informed traders using odd lots to avoid detection. Omitting odd-lot trades leads to inaccuracies in order imbalance measures and makes sentiment measures unreliable. Excluding odd lots from the consolidated tape raises important regulatory issues. © 2014 the American Finance Association.",
