Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Source,EID
"Poletti F., Wheeler N.V., Petrovich M.N., Baddela N., Numkam Fokoua E., Hayes J.R., Gray D.R., Li Z., Slavík R., Richardson D.J.","8633992500;34977641800;57199167515;55373124400;57194657295;55421932900;36522946300;57022542500;57204345614;56962789600;","Towards high-capacity fibre-optic communications at the speed of light in vacuum",2013,"Nature Photonics","7","4",,"279","284",,212,"10.1038/nphoton.2013.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875809097&doi=10.1038%2fnphoton.2013.45&partnerID=40&md5=8edf29f636269e8e3da96fc4f6d080f3","Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom","Poletti, F., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Wheeler, N.V., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Petrovich, M.N., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Baddela, N., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Numkam Fokoua, E., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Hayes, J.R., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Gray, D.R., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Li, Z., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Slavík, R., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom; Richardson, D.J., Optoelectronics Research Centre, University of Southampton, Highfield Campus, SA SO17 1BJ, United Kingdom",Article,"Final",Scopus,2-s2.0-84875809097
"Hasbrouck J., Saar G.","7003316791;6506026732;","Low-latency trading",2013,"Journal of Financial Markets","16","4",,"646","679",,179,"10.1016/j.finmar.2013.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886303256&doi=10.1016%2fj.finmar.2013.05.003&partnerID=40&md5=2c5b9aaa202a35b3b2578c310b85bbe8","Stern School of Business, 44 West 4th Street, New York, NY 10012, United States; Johnson Graduate School of Management, Cornell University, 455 Sage Hall, Ithaca, NY 14853, United States","Hasbrouck, J., Stern School of Business, 44 West 4th Street, New York, NY 10012, United States; Saar, G., Johnson Graduate School of Management, Cornell University, 455 Sage Hall, Ithaca, NY 14853, United States",Article,"Final",Scopus,2-s2.0-84886303256
"Chaboud A.P., Chiquoine B., Hjalmarsson E., Vega C.","8611690000;31168139900;16309776300;23098646300;","Rise of the machines: Algorithmic trading in the foreign exchange market",2014,"Journal of Finance","69","5",,"2045","2084",,105,"10.1111/jofi.12186","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897941973&doi=10.1111%2fjofi.12186&partnerID=40&md5=82907967701ca02e5c04d5abfb3659d3","Division of International Finance, Federal Reserve Board, United States; Stanford Management Company, United States; University of Gothenburg, Sweden; Queen Mary, University of London, United Kingdom","Chaboud, A.P., Division of International Finance, Federal Reserve Board, United States; Chiquoine, B., Stanford Management Company, United States; Hjalmarsson, E., University of Gothenburg, Sweden, Queen Mary, University of London, United Kingdom; Vega, C., Division of International Finance, Federal Reserve Board, United States",Article,"Final",Scopus,2-s2.0-84897941973
"Budish E., Cramton P., Shim J.","6507357477;6602179235;56179798900;","The high-frequency trading arms race: Frequent batch auctions as a market design response",2015,"Quarterly Journal of Economics","130","4", qjv027,"1547","1621",,101,"10.1093/qje/qjv027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947758001&doi=10.1093%2fqje%2fqjv027&partnerID=40&md5=e5e912332d73ad5186989413e4be854b","University Of ChicagoIL, United States; University Of MarylandMD, United States","Budish, E., University Of ChicagoIL, United States; Cramton, P., University Of MarylandMD, United States; Shim, J., University Of ChicagoIL, United States",Article,"Final",Scopus,2-s2.0-84947758001
"Hagströmer B., Nordén L.","24586928700;55892145700;","The diversity of high-frequency traders",2013,"Journal of Financial Markets","16","4",,"741","770",,86,"10.1016/j.finmar.2013.05.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886246906&doi=10.1016%2fj.finmar.2013.05.009&partnerID=40&md5=05e8d34dd7e52a2d7414a9af0879d887","Stockholm University School of Business, S-106 91 Stockholm, Sweden","Hagströmer, B., Stockholm University School of Business, S-106 91 Stockholm, Sweden; Nordén, L., Stockholm University School of Business, S-106 91 Stockholm, Sweden",Article,"Final",Scopus,2-s2.0-84886246906
"Lawrence A.","55787224100;","Individual investors and financial disclosure",2013,"Journal of Accounting and Economics","56","1",,"130","147",,82,"10.1016/j.jacceco.2013.05.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879847651&doi=10.1016%2fj.jacceco.2013.05.001&partnerID=40&md5=11e8cbcadf63af9cf4681f2cd2e117ea","Haas School of Business, University of California at Berkeley, 2220 Piedmont Avenue, Berkeley, CA 94720-1900, United States","Lawrence, A., Haas School of Business, University of California at Berkeley, 2220 Piedmont Avenue, Berkeley, CA 94720-1900, United States",Article,"Final",Scopus,2-s2.0-84879847651
"Aït-Sahalia Y., Jacod J.","6701522393;6602461312;","High-frequency financial econometrics",2014,"High-Frequency Financial Econometrics",,,,"1","659",,79,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924767115&partnerID=40&md5=201f6cba25e1ea2d29c56e81ec7764d7","Bendheim Center for Finance, Princeton University, United States; Institut de Mathématiques de Jussieu, Paris, France","Aït-Sahalia, Y., Bendheim Center for Finance, Princeton University, United States; Jacod, J., Institut de Mathématiques de Jussieu, Paris, France",Book,"Final",Scopus,2-s2.0-84924767115
"Kirilenko A., Kyle A.S., Samadi M., Tuzun T.","7005937861;7004266406;57194083133;57194084653;","The Flash Crash: High-Frequency Trading in an Electronic Market",2017,"Journal of Finance","72","3",,"967","998",,74,"10.1111/jofi.12498","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018654938&doi=10.1111%2fjofi.12498&partnerID=40&md5=f7292054ac2b967dac1da1532500f5b1","Imperial College London, United Kingdom; University of Maryland, United States; Southern Methodist University, United States","Kirilenko, A., Imperial College London, United Kingdom; Kyle, A.S., University of Maryland, United States; Samadi, M., Southern Methodist University, United States; Tuzun, T.",Article,"Final",Scopus,2-s2.0-85018654938
"Boshmaf Y., Muslukhov I., Beznosov K., Ripeanu M.","36809128300;39061906000;10143662200;55887654600;","Design and analysis of a social botnet",2013,"Computer Networks","57","2",,"556","578",,73,"10.1016/j.comnet.2012.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875215273&doi=10.1016%2fj.comnet.2012.06.006&partnerID=40&md5=69937fe55820d314d890664edab65650","Department of Electrical and Computer Engineering, University of British Columbia, 2332 Main Mall, Vancouver, BC V6T 1Z4, Canada","Boshmaf, Y., Department of Electrical and Computer Engineering, University of British Columbia, 2332 Main Mall, Vancouver, BC V6T 1Z4, Canada; Muslukhov, I., Department of Electrical and Computer Engineering, University of British Columbia, 2332 Main Mall, Vancouver, BC V6T 1Z4, Canada; Beznosov, K., Department of Electrical and Computer Engineering, University of British Columbia, 2332 Main Mall, Vancouver, BC V6T 1Z4, Canada; Ripeanu, M., Department of Electrical and Computer Engineering, University of British Columbia, 2332 Main Mall, Vancouver, BC V6T 1Z4, Canada",Article,"Final",Scopus,2-s2.0-84875215273
"O'Hara M., Yao C., Ye M.","7102817623;56589393500;55827149000;","What's not there: Odd lots and market data",2014,"Journal of Finance","69","5",,"2199","2236",,56,"10.1111/jofi.12185","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906225776&doi=10.1111%2fjofi.12185&partnerID=40&md5=11885557812a634c9dfe1f68f04ed22a","Graduate School of Management, Cornell University, United States; Warwick Business School, University of Warwick, United Kingdom; College of Business, University of Illinois, Urbana-Champaign, United States","O'Hara, M., Graduate School of Management, Cornell University, United States; Yao, C., Warwick Business School, University of Warwick, United Kingdom; Ye, M., College of Business, University of Illinois, Urbana-Champaign, United States",Article,"Final",Scopus,2-s2.0-84906225776
