Authors,Author(s) ID,Title,Year,Volume,Issue,Page start,Page end,Cited by,Author Keywords,Language of Original Document,Abstract
"Bejarano-Martinez C.A., Ariza-Quiroga S.D., Sánchez-Sáenz C.M.",57215661706;57215651911;56488078800;,Effect of osmotic dehydration with whole cane sugar on the convective drying of mango (Tommy Atkins) and on some physicochemical properties• [Efecto de la deshidratación osmótica con azúcar de caña entera en el secado por convección del mango (Tommy Atkins) y en algunas propiedades fisicoquímicas],2019,86,210,91.0,97.0,0.0,Dehydration; Fick´s law; Optimization; Sensory perception; Water activity,English,"This research evaluates the effect of osmotic dehydration (OD) as a pretreatment of convective drying in mango pieces (Tommy Atkins) using whole cane sugar solutions in concentrations between 30 and 65 °Brix, and temperatures between 50 and 80 °C in a central composite rotatable design. The effect on effective diffusivity, water loss, sugar gain, color index (CIE-L*a*b*), water activity, sensory perception (color, texture and flavor), and consumption probability were measured. Effective diffusivity was influenced only by temperature of solution, presenting a maximum of 1.4E-4 cm2s-1. Water loss in OD registered a maximum of 40%. Color perception was affected by both variables. The consumption probability was influenced by the conditions evaluated with a maximum value of 80%. It was found the optimal conditions of OD in 65°Brix and 79 °C. © The author; licensee Universidad Nacional de Colombia."
"Paez-Amaya D., Molina-Prado M.L., Arias-Hernández N.A.",57215657246;56662099700;56662146800;,Radiation forces study of a laguerre gaussian beam type TEM*01 on a dielectric sphere in the rayleigh scattering regime [Estudio de las fuerzas de radiación de un haz laguerre gaussiano modo TEM*01 sobre una esfera dieléctrica en el régimen de dispersión de Rayleigh],2019,86,210,187.0,193.0,0.0,Beam doughnut-shaped; Optical tweezer; Rayleigh’s regime,English,"From the invention of the Optical Tweezer (OT) in 1986, these devices have been considered as high-level tools for research in the areas such as biology and microbiology. A theoretical study obtaining equations for gradient and scattering forces that exert an OT when the ∗ illumination beam is a doughnut-shaped mode TEM01 linearly polarized is realized. This work focuses on the behavior of radiation forces on a dielectric sphere in the Rayleigh regime. In order to facilitate the phenomenological analysis of the behavior of the radiation forces a graphical user interface is created. © The author; licensee Universidad Nacional de Colombia."
"Piqueras-Pérez A., Martínez-Casanova M.Á., Abejónar-Buendia J., Marulanda-Arévalo J.L.",57215660755;57215665122;57215671632;55913586100;,Characterization a polyurethane-based reactive hot melt adhesive for applications in materials [Caracterización de un adhesivo termofusible reactivo de base poliuretano para aplicaciones en materiales],2019,86,210,247.0,253.0,0.0,Adhesive bonding; Characterization; Composite material; Hot melt adhesive; Reagent; Wettability,English,"In the present study, we used tensile shear tests, Shore hardness tests, differential scanning calorimetry (DSC), and thermogravimetry (TGA) to characterize a reactive polyurethane-based hot melt adhesive. We also measured contact angles at various temperatures to evaluate the wettability of the adhesive and to determine the optimum temperature range for applications. The adhesive was tested following curing for various times, and the bonding of the adhesive with several materials was investigated to determine whether it has the potential for greater versatility of application. Therefore, we explored new uses of the adhesive, such as in the matrix of a composite with fiberglass. Reactive hot melt adhesives are useful because they provide a certain degree of flexibility to joints, and have high processing speeds, high initial rigidity, and high working temperatures. © The author; licensee Universidad Nacional de Colombia."
"Costa D.O., Vale H.S.M., Batista R.O., Travassos K.D., Portela J.C.",57190247648;57190259969;36558965700;37082249300;35330702700;,Chemical characteristics of soil irrigated with produced water treatment and underground water [Características químicas del suelo irrigado con agua producida tratada y agua subterránea],2019,86,210,143.0,149.0,0.0,Petroleum; Salinization; Sodicity; Wastewater,English,"Irrigation effects of produced water treatment, diluted in underground water, were analyzed through the chemical characteristics of argisol with foraging palm. Assay was performed in a randomized block design (RBD), with five replications, in a subdivided split plot scheme. Splits comprised treatments T1 (100% underground water-UW, control), T2 (75% UW and 25% produced water treatment-PW), T3 (50% UW and 50% PW), T4 (25% UW and 75% PW) and T5 (100% PW), whilst sub splits comprised soil depths (0-0.10 m and 0.10-0.20 m). The results showed that irrigation with diluted treated water produced no risk of soil salinization. There was evidence of leaching of the mobile ions to the deeper layer of soil, especially sodium and magnesium. The highest risk of sodification was observed for soil irrigated only with groundwater (T1-control treatment). © The author; licensee Universidad Nacional de Colombia."
"García-Fajardo M.I., Caicedo-Cuchimba J.M., Tobar-Escobar V., Flórez-Marulanda J.F.",57215573462;57215573951;57215575096;55536210900;,Energy audit proposal for industry applied to a case study in the plastics sector [Propuesta de auditoría energética para la industria aplicada a un caso de estudio del sector plástico],2019,86,210,345.0,354.0,0.0,Energy audit; Energy diagnosis; Energy efficiency; Industry; ISA-88.01,Spanish,"An electric type 2 energy audit towards the industry sector is proposed based on 4 stages: 1) General review of the organization, 2) Energy assessment, 3) Saving potential identification and 4) Improvement proposals of energy efficiency. Energy assessment is mainly emphasized in which, by means of the ISA-88.01 standard, the data-collection process and its analysis is carried out bearing in mind 4 axes: i) Industry equipment, ii) Electric Installations and power quality, iii) Industrial processes and iv) Industrial habits and practices. The present proposal is applied to a case study of an enterprise from the plastics sector where it is important to mention that: 75% of the total energy consumption is represented by three molding machines. A series of actions are proposed in order to implement in the industry case study and consequently, improving the energy efficiency in 7, 25% and also optimizing production. © The author; licensee Universidad Nacional de Colombia."
"Martínez-Vertel J.J., Villaquirán-Vargas A.P., Villar-García Á., Moreno-Díaz D.F., Rodríguez-Castelblanco A.X.",57215591929;57215587553;57189226921;57215585271;57192919955;,Polymer adsorption isotherms with NaCl and CaCl2 on kaolinite substrates [Isotermas de adsorción de polímeros con NaCl y CaCl2 en sustratos de caolinita],2019,86,210,66.0,73.0,0.0,Adsorption; Analytical models; Enhanced oil recovery; Flocculation; Polymer injection,English,"During polymer injection in enhanced oil recovery processes, polymeric molecules are attached to the rock surface as a result of a series of interactions between both components, leading to concentration decrease on the injected batch. This phenomenon, known as adsorption [18], can be estimated by analytical models and depends on several factors like the type of rock, degree of hydrolysis and polymer concentration, reservoir temperature, salinity of formation water, among other aspects. This paper shows the results of 144 statics tests where salinity (NaCl and CaCl2) and polymer concentration were taken as the parameters to be changed in order to determine which analytical model is the most accurate for the prediction of experimental results. The abnormal adsorption tendency with NaCl, indicates that the grater salinity value, the lesser adsorption value concentrations. This is mainly due to the response of the kaolinite substrate to flocculation. © The author; licensee Universidad Nacional de Colombia."
"Leguizamon-Delgado M.A., Duque-Cifuentes A.L., Quintero-Castaño V.D.",57215578235;57207621470;57188581667;,Physico-chemical and sensory evaluation of a mango-based fruit bar [Evaluación fisicoquímica y sensorial de una barra de fruta a base de mango],2019,86,210,276.0,283.0,0.0,Drying techniques; Fiber; Mango; Pectin; Peel; Pulp,English,"The objective of this work was the evaluation of a mango-based fruit bar. Tommy Atkins pulp and mango peel physicochemically were characterized. Three drying methods were compared: lyophilization, convection drying, and microwave assisted convection drying. Subsequently six formulations were made varying the amount of pectin from 0.5 to 2.5%, water, inulin, glycerol and ascorbic acid. The results obtained showed that microwave-assisted convection drying at 40 ° C for the shell showed a higher concentration of fiber. Two formulations were selected for physicochemical, microbiological and sensory analysis. Formulation D with a higher percentage of pectin was more widely accepted. The values obtained from vitamin C and total phenolic compounds show that the formulation of a fruit bar is feasible, taking advantage of the shell mainly as a raw material for foods with functional characteristics. © The author; licensee Universidad Nacional de Colombia."
"Arias-García R.M., Pérez-Abril I.",57214100489;37111260000;,Development of a dynamic model for photovoltaic modules and arrays [Desarrollo de un modelo dinámico para módulos y arreglos fotovoltaicos],2019,86,210,292.0,301.0,0.0,Determination of parameters; Modeling; Photovoltaic array; Photovoltaic module; Simulation; Solar cells,Spanish,"In this work, a dynamic model in Simulink is proposed to simulate the behavior of photovoltaic modules. A novel methodology, based in the Tellegen's theorem, is presented to obtain with accuracy the five parameters of the simple diode model, through the data provided by the manufacturer in the data sheet. The obtained model considers, in the calculation of the Volt-Ampere curve, the environmental conditions of solar irradiance and ambient temperature. The second-order effects, such as the influence of the temperature on the photocurrent and on the open circuit voltage, as well as the spectral and optical effects are also modelled. The accuracy of the proposed model is tested by comparing its results, with curves and experimental data from the manufacturer's data sheet. © The author; licensee Universidad Nacional de Colombia."
"Cabrera-Balarezo J.J., Timbe-Castro L.M., Crespo-Sánchez P.J.",57215593620;57215573397;57215578529;,Evaluation of the HEC-HMS model for the hydrological simulation of a paramo basin [Evaluación del modelo HEC-HMS para la simulación hidrológica de una cuenca de páramo],2019,86,210,338.0,344.0,0.0,Andean paramo wetlands; Calibration; HEC-HMS; Rainfall-runoff; Validation,Spanish,"In this study, the performance of the HEC-HMS model was evaluated for the simulation of rain-runoff processes in a paramo basin of approximately 21.8 km2, south of Ecuador. The calibration and validation comprise the period of July-2013 to June-2016 with daily data. The Soil Moisture Accounting (SMA) method was used to compute the water flow in the soil. For the rainfall distribution, the Thiessen method was used, while the Evapotranspiration was calculated with the Penman-Monteith equation. The results revealed that (1) 83% of the water infiltrates the soil while only 17% is retained in plants and the soil surface, (2) the water is retained for approximately 42 days before reaching the river and (3) that more than 60% of the flow corresponds to sub-surface flow. © The author; licensee Universidad Nacional de Colombia."
Carpio-Valencia F.E.,57215589521;,Standard costs to optimize the profitability of handmade producers of cheese: PROLAC AYMARA case [Costos estándar para optimizar la rentabilidad de los productores artesanales de queso: Caso PROLAC AYMARA],2019,86,210,262.0,269.0,0.0,Handmade; Milk; Production; Quality; Standard costs; Utility,English,"In Peru, the artisan cheese producers has increased, however, they do not have a cost system to optimize the resources used and produce quality products, due to this the research aims to know the tasks that are carried out and to propose a standard cost system to increase profitability. In the research the case of PROLAC AYMARA, individual producer of Paria type cheese, located in the Province and Department of Puno, has been considered. The research uses descriptive, explanatory methods, techniques such as observation; documental review and other relevant research are applied. The results allow to know the standards of the elements of milk cost, raw material, labor and to fix them in an optimal way. In conclusion, by means of the standard costs, the production costs of Paria type cheese are determined in advance, resources and production are optimized and the profit of the producer under study is increased. © The author; licensee Universidad Nacional de Colombia."
